symbol,industry
TRUST,Unknown
TSC,Unknown
TSFINV,Unknown
TTKHLTCARE,Diversified
TTKPRESTIG,Household Appliances
TTL,Other Textile Products
TTML,Telecom - Cellular & Fixed line services
TUNWAL,Unknown
TVSELECT,Computers Hardware & Equipments
TVSHLTD,Investment Company
TVSMOTOR,2/3 Wheelers
TVSSCS,Logistics Solution Provider
TVSSRICHAK,Tyres & Rubber Products
TVTODAY,TV Broadcasting & Software Production
TVVISION,Unknown
UBL,Breweries & Distilleries
UCAL,Auto Components & Equipments
UCOBANK,Public Sector Bank
UDS,Diversified Commercial Services
UEL,Unknown
UFBL,Unknown
UFLEX,Packaging
UFO,"Film Production, Distribution & Exhibition"
UGARSUGAR,Sugar
UGROCAP,Non Banking Financial Company (NBFC)
UHTL,Unknown
UJJIVANSFB,Other Bank
ULTRACEMCO,Cement & Cement Products
UMA,Unknown
UMAEXPORTS,Trading & Distributors
UMESLTD,E-Learning
UMIYA-MRO,Unknown
UNICHEMLAB,Pharmaceuticals
UNIDT,Industrial Products
UNIECOM,Software Products
UNIENTER,Trading - Chemicals
UNIHEALTH,Unknown
UNIINFO,Other Telecom Services
UNILEX,Unknown
UNIMECH,Aerospace & Defense
UNIONBANK,Public Sector Bank
UNIONGOLD,ETF
UNIPARTS,Auto Components & Equipments
UNITDSPR,Breweries & Distilleries
UNITECH,Unknown
UNITEDPOLY,Other Textile Products
UNITEDTEA,Tea & Coffee
UNIVAFOODS,Unknown
UNIVASTU,Civil Construction
UNIVCABLES,Cables - Electricals
UNIVPHOTO,Consumer Electronics
UNOMINDA,Auto Components & Equipments
UPL,Pesticides & Agrochemicals
URAVIDEF,Auto Components & Equipments
URBAN,Unknown
URBANCO,Unknown
URJA,Other Electrical Equipment
USASEEDS,Unknown
USHAFIN,Unknown
USHAMART,Iron & Steel Products
USK,Civil Construction
UTIAMC,Asset Management Company
UTIBANKETF,ETF
UTINEXT50,ETF
UTINIFTETF,ETF
UTISENSETF,ETF
UTISXN50,ETF
UTKARSHBNK,Other Bank
UTLSOLAR,Unknown
UTSSAV,Unknown
UTTAMSUGAR,Sugar
UYFINCORP,Non Banking Financial Company (NBFC)
V2RETAIL,Speciality Retail
VADILALIND,Dairy Products
VAIBHAVGBL,"Gems, Jewellery And Watches"
VAISHALI,Pharmaceuticals
VAKRANGEE,IT Enabled Services
VAL30IETF,ETF
VALIANTLAB,Pharmaceuticals
VALIANTORG,Specialty Chemicals
VARDHACRLC,Other Textile Products
VARDMNPOLY,Other Textile Products
VARROC,Auto Components & Equipments
VASCONEQ,"Residential, Commercial Projects"
VASWANI,Sponge Iron
VBL,Other Beverages
VCL,Garments & Apparels
VDEAL,Unknown
VEDL,Diversified Metals
VEEDOL,Lubricants
VEEKAYEM,Unknown
VELS,Unknown
VENKEYS,Meat Products including Poultry
VENTIVE,Hotels & Resorts
VENUSPIPES,Iron & Steel Products
VENUSREM,Pharmaceuticals
VERANDA,E-Learning
VERTIS,Unknown
VERTOZ,Advertising & Media Agencies
VESUVIUS,Electrodes & Refractories
VETO,Consumer Electronics
VGINFOTECH,Unknown
VGL,Unknown
VGUARD,Household Appliances
VHL,Investment Company
VHLTD,Unknown
VIAZ,Unknown
VIDHIING,Specialty Chemicals
VIDYAWIRES,Unknown
VIESL,Unknown
VIGOR,Unknown
VIJAYA,Healthcare Service Provider
VIJAYPD,Unknown
VIJIFIN,Non Banking Financial Company (NBFC)
VIKASECO,Specialty Chemicals
VIKASLIFE,Trading & Distributors
VIKRAMSOLR,Unknown
VIKRAN,Unknown
VILAS,Unknown
VILINBIO,Unknown
VIMTALABS,"Healthcare Research, Analytics & Technology"
VINATIORGA,Specialty Chemicals
VINCOFE,Trading & Distributors
VINDHYATEL,Telecom - Infrastructure
VINEETLAB,Pharmaceuticals
VINNY,Garments & Apparels
VINSYS,Unknown
VINYAS,Unknown
VINYLINDIA,Trading - Chemicals
VIPCLOTHNG,Garments & Apparels
VIPIND,Plastic Products - Consumer
VIPULLTD,"Residential, Commercial Projects"
VIRINCHI,Software Products
VISAKAIND,Cement & Cement Products
VISAMAN,Unknown
VISASTEEL,Unknown
VISHNU,Specialty Chemicals
VISHNUINFR,Unknown
VISHWARAJ,Sugar
VITAL,Unknown
VIVIANA,Unknown
VIVIDHA,Garments & Apparels
VLEGOV,IT Enabled Services
VLINFRA,Unknown
VLSFINANCE,Investment Company
VMARCIND,Unknown
VMART,Diversified Retail
VMM,Diversified Retail
VMSTMT,Unknown
VOLERCAR,Unknown
VOLTAMP,Heavy Electrical Equipment
VOLTAS,Household Appliances
VPRPL,Civil Construction
VR,Unknown
VRAJ,Sponge Iron
VRLLOG,Logistics Solution Provider
VSCL,Unknown
VSSL,Iron & Steel Products
VSTIND,Cigarettes & Tobacco Products
VSTL,Iron & Steel Products
VSTTILLERS,Tractors
VTL,Other Textile Products
WAAREEENER,Other Electrical Equipment
WAAREEINDO,Unknown
WAAREERTL,Other Electrical Equipment
WABAG,Water Supply & Management
WAKEFIT,Unknown
WALCHANNAG,Industrial Products
WANBURY,Pharmaceuticals
WCIL,Logistics Solution Provider
WEALTH,Other Financial Services
WEBELSOLAR,Other Electrical Equipment
WEIZMANIND,Other Textile Products
WEL,Household Appliances
WELCORP,Iron & Steel Products
WELENT,Civil Construction
WELINV,Investment Company
WELSPUNLIV,Other Textile Products
WENDT,Abrasives & Bearings
WESTLIFE,Restaurants
WEWIN,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
WEWORK,Unknown
WHEELS,Auto Components & Equipments
WHIRLPOOL,Household Appliances
WHITEFORCE,Unknown
WILLAMAGOR,Investment Company
WINDLAS,Pharmaceuticals
WINDMACHIN,Industrial Products
WINNY,Unknown
WINSOL,Unknown
WIPL,Plywood Boards/ Laminates
WIPRO,Computers - Software & Consulting
WOCKPHARMA,Pharmaceuticals
WOL3D,Unknown
WOMANCART,Unknown
WONDERLA,Amusement Parks/ Other Recreation
WORTHPERI,Unknown
WSI,Civil Construction
WSTCSTPAPR,Paper & Paper Products
WTICAB,Unknown
XCHANGING,Computers - Software & Consulting
XELPMOC,Software Products
XPROINDIA,Packaging
XTGLOBAL,Computers - Software & Consulting
YASHO,Specialty Chemicals
YASHOPTICS,Unknown
YATHARTH,Hospital
YATRA,"Tour, Travel Related Services"
YCCL,Unknown
YESBANK,Private Sector Bank
YUKEN,"Compressors, Pumps & Diesel Engines"
ZAGGLE,IT Enabled Services
ZEAL,Unknown
ZEEL,TV Broadcasting & Software Production
ZEELEARN,Education
ZEEMEDIA,TV Broadcasting & Software Production
ZENITHDRUG,Unknown
ZENITHEXPO,Leather And Leather Products
ZENITHSTL,Iron & Steel Products
ZENSARTECH,Computers - Software & Consulting
ZENTEC,Aerospace & Defense
ZFCVINDIA,Auto Components & Equipments
ZIMLAB,Pharmaceuticals
ZODIAC,Civil Construction
ZODIACLOTH,Garments & Apparels
ZOTA,Pharmaceuticals
ZTECH,Unknown
ZUARI,Fertilizers
ZUARIIND,Sugar
ZYDUSLIFE,Pharmaceuticals
ZYDUSWELL,Packaged Foods
