symbol,industry
DOMS,Stationary
DONEAR,Other Textile Products
DPABHUSHAN,"Gems, Jewellery And Watches"
DPEL,Unknown
DPSCLTD,Integrated Power Utilities
DPWIRES,Iron & Steel Products
DRCSYSTEMS,Computers - Software & Consulting
DREAMFOLKS,Airport & Airport services
DREDGECORP,Dredging
DRONE,Unknown
DRREDDY,Pharmaceuticals
DSSL,IT Enabled Services
DTIL,Tea & Coffee
DUCOL,Unknown
DUCON,Industrial Products
DURLAX,Unknown
DVL,Diversified
DWARKESH,Sugar
DYCL,Cables - Electricals
DYNAMATECH,Industrial Products
DYNAMIC,Unknown
DYNPRO,Specialty Chemicals
E2E,IT Enabled Services
EASEMYTRIP,"Tour, Travel Related Services"
EASTSILK,Unknown
EBANKNIFTY,ETF
EBBETF0430,ETF
EBBETF0431,ETF
EBBETF0433,ETF
EBGNG,Computers Hardware & Equipments
ECAPINSURE,ETF
ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ECOSMOBLTY,Road Transport
EDELWEISS,Holding Company
EEPL,Unknown
EFACTOR,Unknown
EFCIL,Unknown
EFFWA,Unknown
EFORCE,Unknown
EGOLD,ETF
EICHERMOT,2/3 Wheelers
EIDPARRY,Other Food Products
EIEL,Water Supply & Management
EIFFL,Packaged Foods
EIHAHOTELS,Hotels & Resorts
EIHOTEL,Hotels & Resorts
EIMCOELECO,Industrial Products
EKC,Industrial Products
ELDEHSG,"Residential, Commercial Projects"
ELECON,Heavy Electrical Equipment
ELECTCAST,Iron & Steel Products
ELECTHERM,Iron & Steel Products
ELGIEQUIP,"Compressors, Pumps & Diesel Engines"
ELGIRUBCO,Rubber
ELGNZ,Unknown
ELIN,Household Appliances
ELIQUID,Unknown
ELLEN,Industrial Gases
ELM250,Unknown
EMAMILTD,Personal Care
EMAMIPAP,Paper & Paper Products
EMAMIREAL,"Residential, Commercial Projects"
EMAPARTNER,Unknown
EMBASSY,Unknown
EMBDL,"Residential, Commercial Projects"
